Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
497,Alperen Sengun,C,19,HOU,72,1489,16.0,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22.0,0.8,1.3,2.1,0.068,-1.6,0.6,-1.0,0.4,sengual01
498,Collin Sexton,SG,23,CLE,11,316,11.2,0.523,0.298,0.258,4.6,7.9,6.3,11.9,1.6,0.0,15.6,27.9,-0.4,0.3,-0.1,-0.009,-3.5,-0.7,-4.1,-0.2,sextoco01
499,Landry Shamet,SG,24,PHO,69,1437,10.2,0.55,0.689,0.167,1.2,8.0,4.7,9.7,0.9,0.6,7.3,16.8,1.1,1.5,2.6,0.085,-0.9,-0.4,-1.2,0.3,shamela01
500,Day'Ron Sharpe,PF,20,BRK,32,391,20.7,0.593,0.047,0.275,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,0.8,0.5,1.2,0.152,-0.3,-2.5,-2.8,-0.1,sharpda01
501,Pascal Siakam,PF,27,TOR,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6,siakapa01
502,Chris Silva,PF,25,TOT,10,91,11.6,0.641,0.0,0.8,16.5,28.2,22.4,10.6,0.0,1.2,28.3,13.8,0.1,0.1,0.3,0.137,-5.0,0.1,-4.9,-0.1,silvach01
502,Chris Silva,PF,25,MIN,1,3,3.8,,,,0.0,36.6,17.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.052,-5.3,-0.5,-5.8,0.0,silvach01
502,Chris Silva,PF,25,MIA,9,88,11.9,0.641,0.0,0.8,17.0,27.9,22.6,10.9,0.0,1.2,28.3,14.3,0.1,0.1,0.3,0.14,-5.0,0.1,-4.9,-0.1,silvach01
503,Marko Simonovic,C,22,CHI,9,35,10.2,0.428,0.333,0.733,16.2,16.0,16.1,0.0,1.4,2.5,9.2,27.5,0.0,0.0,0.0,-0.011,-6.1,-5.0,-11.1,-0.1,simonma01
504,Anfernee Simons,SG,22,POR,57,1681,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,2.0,-0.1,1.9,0.055,1.9,-2.7,-0.7,0.5,simonan01
505,Zavier Simpson,PG,24,OKC,4,174,7.7,0.406,0.154,0.096,1.2,11.4,6.2,25.2,1.4,2.1,15.6,15.9,-0.2,0.1,-0.1,-0.018,-6.0,-1.9,-7.9,-0.3,simpsza01
506,Jericho Sims,PF,23,NYK,41,555,11.6,0.674,0.0,0.537,11.6,21.3,16.4,5.3,1.0,3.9,23.1,6.9,0.7,0.8,1.5,0.128,-2.8,1.1,-1.7,0.0,simsje01
507,Deividas Sirvydis,SG,21,DET,3,27,0.1,0.15,0.7,0.0,0.0,25.3,12.0,4.9,5.4,3.3,0.0,15.9,-0.1,0.1,-0.1,-0.139,-10.8,2.2,-8.7,0.0,sirvyde01
508,Javonte Smart,PG,22,TOT,17,200,5.1,0.407,0.45,0.1,2.7,10.0,6.5,10.4,1.5,1.5,14.9,15.9,-0.3,0.2,-0.2,-0.038,-5.9,-0.8,-6.6,-0.2,smartja01
508,Javonte Smart,PG,22,MIL,13,160,2.5,0.34,0.419,0.14,2.7,9.7,6.3,10.9,1.2,1.2,16.5,14.6,-0.4,0.1,-0.2,-0.071,-7.3,-0.8,-8.1,-0.2,smartja01
508,Javonte Smart,PG,22,MIA,4,40,15.6,0.588,0.529,0.0,2.9,11.2,7.1,8.1,2.5,2.6,10.5,21.1,0.0,0.1,0.1,0.094,-0.2,-0.7,-0.9,0.0,smartja01
509,Marcus Smart,PG,27,BOS,71,2296,13.6,0.54,0.501,0.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,0.116,-1.2,1.7,0.5,1.5,smartma01
510,Dennis Smith Jr.,PG,24,POR,37,638,13.2,0.474,0.143,0.339,3.3,12.2,7.6,30.5,3.4,1.9,19.0,18.2,-0.1,0.5,0.4,0.031,-2.8,1.2,-1.7,0.1,smithde03
511,Ish Smith,PG,33,TOT,65,1126,12.5,0.465,0.156,0.056,2.4,11.1,6.8,31.5,2.0,1.8,15.0,20.1,-0.3,0.9,0.5,0.023,-2.2,-0.6,-2.9,-0.2,smithis01
511,Ish Smith,PG,33,CHO,37,511,9.6,0.434,0.135,0.103,2.2,9.7,5.9,25.9,1.9,1.8,15.7,19.1,-0.5,0.3,-0.1,-0.011,-3.7,-0.7,-4.5,-0.3,smithis01
511,Ish Smith,PG,33,WAS,28,615,15.0,0.489,0.171,0.02,2.6,12.2,7.5,36.1,2.2,1.8,14.5,20.9,0.1,0.5,0.7,0.052,-0.9,-0.6,-1.5,0.1,smithis01
512,Jalen Smith,PF,21,TOT,51,924,18.4,0.595,0.349,0.291,12.0,24.5,18.2,3.9,0.8,3.9,9.6,20.3,1.7,1.1,2.8,0.145,0.9,-1.4,-0.5,0.3,smithja04
512,Jalen Smith,PF,21,PHO,29,382,15.9,0.547,0.285,0.38,15.9,23.0,19.5,2.1,0.8,4.2,12.1,20.5,0.4,0.7,1.1,0.137,-1.9,-0.5,-2.3,0.0,smithja04
512,Jalen Smith,PF,21,IND,22,543,20.2,0.628,0.39,0.235,9.3,25.5,17.3,5.1,0.8,3.7,7.8,20.1,1.3,0.4,1.7,0.15,2.9,-2.1,0.8,0.4,smithja04
513,Xavier Sneed,SF,24,TOT,9,39,0.4,0.25,0.8,0.0,5.5,10.9,8.3,3.3,0.0,0.0,0.0,11.0,-0.1,0.0,0.0,-0.056,-6.9,-3.7,-10.6,-0.1,sneedxa01
513,Xavier Sneed,SF,24,MEM,2,8,-7.1,0.0,1.0,0.0,12.8,13.4,13.1,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,-0.143,-14.5,-5.5,-19.9,0.0,sneedxa01
513,Xavier Sneed,SF,24,UTA,7,31,2.4,0.313,0.75,0.0,3.7,10.3,7.1,4.1,0.0,0.0,0.0,11.2,0.0,0.0,0.0,-0.033,-4.9,-3.3,-8.2,0.0,sneedxa01
514,Tony Snell,SG,30,TOT,53,822,6.3,0.541,0.749,0.023,2.1,12.0,6.9,4.7,1.0,1.1,9.9,10.1,0.2,0.2,0.4,0.023,-3.4,-0.8,-4.2,-0.5,snellto01
514,Tony Snell,SG,30,POR,38,546,5.2,0.503,0.773,0.031,2.1,12.7,7.2,5.0,0.7,1.3,10.1,8.7,0.0,0.1,0.1,0.005,-4.1,-1.0,-5.0,-0.4,snellto01
514,Tony Snell,SG,30,NOP,15,277,8.6,0.591,0.716,0.014,2.0,10.6,6.2,4.0,1.4,0.7,9.7,12.8,0.2,0.2,0.3,0.058,-2.0,-0.6,-2.6,0.0,snellto01
515,Jaden Springer,SG,19,PHI,2,6,26.4,1.0,0.0,0.0,18.9,18.3,18.6,0.0,0.0,30.0,50.0,15.0,0.0,0.0,0.0,0.138,8.3,8.7,17.1,0.0,sprinja01
516,Cassius Stanley,SG,22,DET,9,155,8.0,0.516,0.37,0.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,0.0,0.1,0.1,0.021,-4.9,-1.0,-5.8,-0.2,stanlca01
517,Nik Stauskas,SG,28,TOT,8,39,10.5,0.541,0.714,0.429,3.0,5.7,4.4,7.3,0.0,0.0,5.7,20.0,0.0,0.0,0.1,0.078,-0.9,-2.7,-3.6,0.0,stausni01
517,Nik Stauskas,SG,28,MIA,2,24,13.1,0.564,0.5,0.5,4.8,9.3,7.1,6.0,0.0,0.0,0.0,18.1,0.1,0.0,0.1,0.142,0.0,-1.3,-1.3,0.0,stausni01
517,Nik Stauskas,SG,28,BOS,6,15,6.2,0.509,1.0,0.333,0.0,0.0,0.0,9.4,0.0,0.0,12.7,23.1,0.0,0.0,0.0,-0.025,-2.4,-4.8,-7.3,0.0,stausni01
518,Lance Stephenson,PG-SG,31,TOT,46,814,13.6,0.536,0.279,0.248,1.6,16.0,8.7,30.2,1.4,0.4,16.7,22.6,0.4,0.4,0.8,0.048,-1.6,-1.6,-3.2,-0.2,stephla01
518,Lance Stephenson,SG,31,ATL,6,70,4.5,0.396,0.231,0.154,1.6,21.8,11.7,19.9,0.0,0.0,22.4,11.2,-0.1,0.0,0.0,-0.023,-6.8,-0.8,-7.7,-0.1,stephla01
518,Lance Stephenson,PG,31,IND,40,744,14.5,0.542,0.281,0.252,1.6,15.4,8.4,31.2,1.6,0.5,16.5,23.7,0.5,0.3,0.8,0.055,-1.1,-1.7,-2.8,-0.1,stephla01
519,Lamar Stevens,PF,24,CLE,63,1015,11.3,0.544,0.204,0.235,5.2,12.5,8.9,6.5,1.5,1.6,10.4,17.1,0.4,1.2,1.6,0.078,-3.2,0.3,-2.9,-0.2,stevela01
